genus;short;species;autorite;country;tdwg_level;latitude;longitude
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);United States of America (Connecticut);4.0;41.62574308;-72.72758095
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);United States of America (Maine);4.0;45.39587882;-69.22759999
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);United States of America (Massachusetts);4.0;42.25862899;-71.80907678
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);United States of America (New Hampshire);4.0;43.68999511;-71.5792793
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);United States of America (New Jersey);4.0;40.18920093;-74.66262909
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);United States of America (New York);4.0;42.99492034;-75.69458709
Pentastiridius;cinnamoneus;Pentastiridius cinnamoneus;(Provancher, 1889);United States of America (Pennsylvania);4.0;40.89843684;-77.83950118
Pentastiridius;confumatus;Pentastiridius confumatus;Emeljanov, 1992;Ethiopia;4.0;8.62614057;39.6160194
Pentastiridius;curvata;Pentastiridius curvata;(Logvinenko, 1974);Ukraine;4.0;49.17189131;31.26554566
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);Azerbaijan;4.0;40.38015597;47.71281698
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);Ukraine;4.0;49.17189131;31.26554566
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);Egypt;4.0;26.35781078;29.5313701
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);Armenia;4.0;40.28641688;44.94793424
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);Russia;4.0;;
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);France;4.0;46.63137208;2.45150425
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);Greece;4.0;39.36723826;22.67457493
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);Mongolia;4.0;46.83520929;103.083029
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);Russia (Dagestan);4.0;43.02471998;46.87426751
Pentastiridius;dagestanicus;Pentastiridius dagestanicus;(Kusnezov, 1937);Italy;4.0;43.52546164;12.15502009
Pentastiridius;dedecorus;Pentastiridius dedecorus;Emeljanov, 1992;Ethiopia;4.0;8.62614057;39.6160194
Pentastiridius;ecarinatus;Pentastiridius ecarinatus;(Mitjaev, 1971);;;;
Pentastiridius;eurycephalus;Pentastiridius eurycephalus;Van Stalle, 1986;Guinea;4.0;10.43853955;-10.94184026
Pentastiridius;felimontis;Pentastiridius felimontis;Van Stalle, 1986;Cape Provinces;3.0;;
Pentastiridius;felis;Pentastiridius felis;(Kirkaldy, 1906);Samoa;4.0;-13.7583492;-172.1594545
Pentastiridius;felis;Pentastiridius felis;(Kirkaldy, 1906);France (New Caledonia);4.0;-21.29461419;165.6718498
Pentastiridius;felis;Pentastiridius felis;(Kirkaldy, 1906);Australia (Queensland);4.0;-22.57378083;144.5481729
Pentastiridius;felis;Pentastiridius felis;(Kirkaldy, 1906);Australia (New South Wales);4.0;-32.17021086;147.0127743
Pentastiridius;felis;Pentastiridius felis;(Kirkaldy, 1906);Fiji;4.0;-17.46392685;160.7916367
Pentastiridius;formicarius;Pentastiridius formicarius;(Mitjaev, 1967);;;;
Pentastiridius;fuscoapicatus;Pentastiridius fuscoapicatus;(Metcalf, 1954);Philippines (Luzon);4.0;11.74740395;122.873632
Pentastiridius;haloxyli;Pentastiridius haloxyli;(Mitjaev, 1971);;;;
Pentastiridius;hodgarti;Pentastiridius hodgarti;(Distant, 1911);Pakistan (palearctic);4.0;29.35662228;68.78919432
Pentastiridius;hodgarti;Pentastiridius hodgarti;(Distant, 1911);India;3.0;;
Pentastiridius;incultus;Pentastiridius incultus;Emeljanov, 1992;Ethiopia;4.0;8.62614057;39.6160194
Pentastiridius;inermis;Pentastiridius inermis;(Fennah, 1958);Nigeria;4.0;9.59362458;8.10531839
Pentastiridius;inermis;Pentastiridius inermis;(Fennah, 1958);Cameroon;4.0;5.68579632;12.74325047
Pentastiridius;inermis;Pentastiridius inermis;(Fennah, 1958);Sudan;4.0;13.88720329;30.08706657
Pentastiridius;inermis;Pentastiridius inermis;(Fennah, 1958);Kenya;4.0;0.52977986;37.85786204
Pentastiridius;inermis;Pentastiridius inermis;(Fennah, 1958);Democratic Republic of the Congo;4.0;-2.87623132;23.6544568
Pentastiridius;iphis;Pentastiridius iphis;(Linnavuori, 1973);Senegal;4.0;14.36697739;-14.46817708
Pentastiridius;iphis;Pentastiridius iphis;(Linnavuori, 1973);Ivory Coast;4.0;7.63171961;-5.55550501
Pentastiridius;iphis;Pentastiridius iphis;(Linnavuori, 1973);Niger;4.0;17.42632346;9.39765057
Pentastiridius;iphis;Pentastiridius iphis;(Linnavuori, 1973);Nigeria;4.0;9.59362458;8.10531839
Pentastiridius;iphis;Pentastiridius iphis;(Linnavuori, 1973);Chad;4.0;15.3611377;18.66460375
Pentastiridius;iphis;Pentastiridius iphis;(Linnavuori, 1973);Sudan;4.0;13.88720329;30.08706657
